# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
TOI-2257 b,Confirmed,0.0179,0.0072,0.0135,,,,0.19574,0.0098,0.0098,35.189346,9e-05,9e-05,0.145,0.003,0.003,0.496,0.133,0.216,89.786,0.062,0.078,,2021,2021-11-03,258.0,26.0,42.0,,,,,,,2459007.97949,0.001,0.001,,,,,,,0.374,0.137,0.098,,,,,,,256.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-2257,194.741666686,77.661666689,15.2,,,,,57.7911,0.1,0.1,-0.27,0.37,0.37,0.33,0.02,0.02,0.311,0.015,0.015,M3,,,,3430.0,130.0,130.0,,,
TOI-2260 b,Confirmed,0.011,0.0041,0.0079,,,,0.1445,0.0116,0.0116,0.3524728,4.7e-06,4.7e-06,0.0097,0.0001,0.0001,,,,,,,,2022,2022-01-30,,,,,,,,,,2458928.239,0.0007,0.0007,,,,,,,0.77,0.04,0.04,,,,,,,2609.0,86.0,86.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-2260,247.66666668,49.0463889,10.5,,,,,101.3,,,,,,0.99,0.04,0.04,0.94,0.05,0.05,,,,,5534.0,100.0,100.0,,,
TOI-2285 b,Confirmed,0.0614,0.0614,0.0,,,,0.1552,0.0071,0.0071,27.26955,0.0001,0.00013,0.1363,0.001,0.001,0.3,0.1,0.1,89.66,0.19,0.22,,2021,2021-10-22,56.0,30.0,80.0,,,,,,,2458747.1815,0.0021,0.0017,,,,,,,0.49,0.31,0.19,,,,7.5,7.5,0.0,284.0,6.0,6.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-2285,332.562500005,58.70611113,13.4,,,,,42.409,0.047,0.047,-0.05,0.12,0.12,0.454,0.01,0.01,0.464,0.013,0.013,,,,,3491.0,58.0,58.0,,,
TOI-237 b,Confirmed,0.009,0.003,0.006,,,,0.1285,0.0107,0.0107,5.436098,3.9e-05,3.9e-05,0.0341,0.001,0.001,,,,89.5,0.6,0.4,,2020,2020-11-02,,,,,,,,,,,,,,,,,,,0.3,0.21,0.27,,,,,,,355.0,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-237,353.241666686,-29.41500002,16.4,,,,,38.11,0.23,0.23,,,,0.179,0.004,0.004,0.211,0.006,0.006,,,,,3212.0,100.0,100.0,,,
TOI-2406 b,Confirmed,0.0286,0.013,0.0223,,,,0.2623,0.0152,0.0152,3.0766896,6.5e-06,6.5e-06,0.0228,0.0016,0.0016,0.26,0.12,0.27,89.63,0.33,0.27,,2021,2021-08-02,279.0,63.0,47.0,,,,,,,2459115.97547,0.00027,0.00027,,,,,,,,,,,,,14.9,6.6,12.0,447.0,15.0,15.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-2406,8.804166671,-3.370555566,18.0,,,,,55.6,0.13,0.13,-0.38,0.07,0.07,0.162,0.008,0.008,0.202,0.011,0.011,M4V,,,,3100.0,75.0,75.0,Imaging,,
TOI-2411 b,Confirmed,0.0123,0.0047,0.0072,,,,0.1499,0.0098,0.0098,0.7826942,3.7e-06,3.7e-06,0.0144,0.0001,0.0001,,,,,,,,2022,2022-01-30,,,,,,,,,,2459116.0139,0.001,0.001,,,,,,,0.39,0.14,0.14,,,,,,,1355.0,45.0,45.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-2411,20.925000014,-8.701388904,11.3,,,,,59.5,,,,,,0.65,0.02,0.02,0.68,0.02,0.02,K5V,,,,4099.0,123.0,123.0,,,
TOI-2421 b,Confirmed,0.333,0.08,0.08,,,,0.924,0.035,0.035,4.474032,8e-06,8e-06,0.0543,0.001,0.002,0.0,,,86.49,0.76,1.7,,2022,2022-05-24,,,,,,,,,,2458957.01765,0.00064,0.00064,,,,,,,0.409,0.13,0.7,,,,37.8,8.9,8.9,1534.0,28.0,28.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-2421,33.154166679,-35.390833347,,,,,,327.3,2.0,2.0,,,,,,,1.92,0.29,0.29,,,,,5645.0,110.0,110.0,,,
TOI-2427 b,Confirmed,0.0129,0.0047,0.0098,,,,0.161,0.0107,0.0107,1.3060011,0.001,0.001,0.0202,0.0002,0.0002,,,,,,,,2022,2022-01-30,,,,,,,,,,2459169.6202,0.0004,0.0004,,,,,,,0.87,0.02,0.02,,,,,,,1117.0,46.0,46.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-2427,52.29166667,-31.363055573,10.3,,,,,28.5,,,,,,0.64,0.02,0.02,0.65,0.02,0.02,K,,,,4072.0,121.0,121.0,,,
TOI-2445 b,Confirmed,0.006,0.0022,0.0038,,,,0.1115,0.0071,0.0071,0.3711281,5e-07,5e-07,0.0064,0.0001,0.0001,,,,,,,,2022,2022-01-30,,,,,,,,,,2459144.5697,0.0004,0.0004,,,,,,,0.27,0.14,0.14,,,,,,,1060.0,54.0,54.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,TOI-2445,43.316666672,0.052500003,15.7,,,,,48.6,,,,,,0.25,0.01,0.01,0.27,0.01,0.01,M,,,,3330.0,157.0,157.0,,,
TOI-2497 b,Confirmed,5.21,0.52,0.52,,,,1.0,0.04,0.04,10.655661,2.6e-05,2.6e-05,0.1167,0.0018,0.0018,0.196,0.053,0.059,88.11,0.22,1.1,,2022,2022-05-13,338.0,20.0,20.0,,,,,,,,,,2459200.93,0.29,0.29,,,,0.36,0.22,0.16,,,,324.0,31.0,31.0,1596.0,44.0,44.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-2497,90.062500005,11.884166685,,,,,,285.1,4.2,4.2,0.094,0.072,0.076,1.86,0.08,0.086,2.358,0.082,0.085,,1.0,0.2,0.2,7360.0,290.0,290.0,,,
TOI-251 b,Confirmed,1.0,1.0,0.0,,,,0.2444,0.0161,0.0161,4.93777,2.9e-05,2.9e-05,0.05741,0.00017,0.00023,0.0,,,87.52,0.31,0.4,,2020,2020-11-30,,,,,,,,,,2458357.30548,0.0015,0.0015,,,,,,,,,,,,,120.0,120.0,0.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-251,353.062500005,-37.255833343,9.9,,,,,99.52,0.044,0.044,-0.106,0.07,0.079,1.036,0.009,0.013,0.881,0.047,0.038,,0.18,0.14,0.14,5875.0,190.0,100.0,,,
TOI-2567 b,Confirmed,0.2,0.034,0.034,,,,0.975,0.02,0.03,5.983944,1.3e-05,1.3e-05,0.0672,0.0012,0.024,0.0,,,88.3,0.8,1.1,,2022,2022-05-24,,,,,,,,,,2459007.78085,0.00052,0.00052,,,,,,,0.26,0.16,0.1,,,,20.6,3.2,3.2,1352.0,19.0,19.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-2567,288.466666684,66.348055574,,,,,,518.4,1.0,1.0,,,,,,,1.83,0.27,0.27,,,,,5609.0,110.0,110.0,,,
TOI-257 b,Confirmed,0.134,0.023,0.023,,,,0.626,0.013,0.013,18.38827,0.00072,0.00072,0.1523,0.0017,0.0017,0.24,0.065,0.04,88.78,0.57,0.78,,2020,2020-01-23,96.0,22.0,22.0,,,,,,,2458385.76,0.0011,0.0011,,,,,,,0.28,0.19,0.19,,,,8.5,1.4,1.4,1033.0,19.0,19.0,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,HD 19916 b,,TOI-257,47.516666668,-50.832500029,,,,,,77.07,0.02,0.02,0.19,0.1,0.1,1.389,0.009,0.056,1.926,0.017,0.017,F8/G0V,3.11,0.46,0.46,6075.0,90.0,90.0,,,HD 19916
TOI-2570 b,Confirmed,82.0,0.065,0.065,,,,1.217,0.035,0.035,2.9887615,2.2e-06,2.2e-06,0.04145,0.00086,0.00086,0.0,,,87.73,0.6,0.75,,2022,2022-05-25,,,,,,,,,,2459393.14532,0.00021,0.00021,,,,,,,0.32,0.1,0.07,,,,111.2,7.5,6.9,1431.0,24.0,24.0,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,TOI-2570,87.187500015,32.084166669,,,,,,361.7,1.5,1.5,,,,,,,1.35,0.2,0.2,,,,,5756.0,110.0,110.0,,,
